c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
9.75,0.03,0.50683,0.99609,1.451,1.8609,2.2155,2.5135,2.7505
9.9,0.03,0.51242,1.007,1.4667,1.8809,2.2389,2.5398,2.7788
10.05,0.03,0.51795,1.0178,1.4823,1.9007,2.2622,2.5658,2.8069
10.2,0.03,0.52344,1.0285,1.4978,1.9203,2.2853,2.5916,2.8347
10.35,0.03,0.52888,1.0392,1.5132,1.9397,2.3081,2.6172,2.8623
10.5,0.03,0.53427,1.0497,1.5284,1.959,2.3308,2.6426,2.8897
10.65,0.03,0.53962,1.0602,1.5435,1.9782,2.3533,2.6677,2.9168
10.8,0.03,0.54492,1.0705,1.5584,1.9971,2.3756,2.6926,2.9437
10.95,0.03,0.55018,1.0808,1.5733,2.0159,2.3976,2.7174,2.9703
11.1,0.03,0.5554,1.091,1.588,2.0346,2.4196,2.7419,2.9968
11.25,0.03,0.56058,1.1011,1.6026,2.0531,2.4413,2.7662,3.023
11.4,0.03,0.56572,1.1112,1.6171,2.0715,2.4629,2.7903,3.049
11.55,0.03,0.57081,1.1211,1.6314,2.0897,2.4843,2.8143,3.0748
11.7,0.03,0.57587,1.131,1.6457,2.1078,2.5055,2.838,3.1005
11.85,0.03,0.58089,1.1408,1.6599,2.1257,2.5266,2.8616,3.1259
12,0.03,0.58588,1.1505,1.6739,2.1435,2.5475,2.885,3.1511
12.15,0.03,0.59083,1.1602,1.6879,2.1612,2.5683,2.9082,3.1762
12.3,0.03,0.59574,1.1698,1.7017,2.1788,2.5889,2.9313,3.201
12.45,0.03,0.60061,1.1793,1.7155,2.1962,2.6094,2.9542,3.2257
12.6,0.03,0.60546,1.1888,1.7291,2.2135,2.6297,2.9769,3.2502
12.75,0.03,0.61027,1.1982,1.7427,2.2307,2.6499,2.9995,3.2746
12.9,0.03,0.61504,1.2075,1.7561,2.2477,2.67,3.0219,3.2988
13.05,0.03,0.61979,1.2168,1.7695,2.2647,2.6899,3.0442,3.3228
13.2,0.03,0.6245,1.226,1.7828,2.2815,2.7096,3.0663,3.3466
13.35,0.03,0.62918,1.2351,1.796,2.2983,2.7293,3.0883,3.3703
13.5,0.03,0.63383,1.2442,1.8091,2.3149,2.7488,3.1101,3.3939
13.65,0.03,0.63845,1.2532,1.8221,2.3314,2.7682,3.1318,3.4173
13.8,0.03,0.64304,1.2622,1.8351,2.3478,2.7874,3.1533,3.4405
13.95,0.03,0.6476,1.2711,1.8479,2.3641,2.8066,3.1747,3.4636
14.1,0.03,0.65214,1.28,1.8607,2.3803,2.8256,3.196,3.4865
14.25,0.03,0.65664,1.2888,1.8734,2.3964,2.8445,3.2172,3.5093
14.4,0.03,0.66112,1.2975,1.886,2.4124,2.8633,3.2382,3.532
14.55,0.03,0.66557,1.3062,1.8986,2.4283,2.882,3.2591,3.5545
14.7,0.03,0.66999,1.3149,1.911,2.4441,2.9005,3.2798,3.5769
14.85,0.03,0.67439,1.3235,1.9234,2.4598,2.919,3.3005,3.5992
15,0.03,0.67877,1.332,1.9358,2.4754,2.9373,3.321,3.6213
0.15,0.04,0.059451,0.11753,0.17398,0.2266,0.27664,0.32098,0.36282
0.3,0.04,0.063675,0.12632,0.1876,0.24593,0.30194,0.35346,0.40237
0.45,0.04,0.057162,0.11355,0.16875,0.22171,0.27253,0.31987,0.36452
0.6,0.04,0.045067,0.089548,0.13302,0.17479,0.21466,0.25181,0.28641
0.75,0.04,0.029697,0.05899,0.087537,0.1149,0.14082,0.16485,0.18686
0.9,0.04,0.012314,0.024447,0.036226,0.04747,0.058029,0.06773,0.076457
1.05,0.04,0.0063128,0.012523,0.018526,0.024228,0.029532,0.034354,0.038612
1.2,0.04,0.025692,0.05092,0.075204,0.098136,0.11926,0.13825,0.15472
1.35,0.04,0.045495,0.090083,0.13281,0.17292,0.20951,0.24205,0.26975
1.5,0.04,0.065498,0.12956,0.19069,0.24773,0.29926,0.34458,0.3825
1.65,0.04,0.085545,0.16905,0.24839,0.32197,0.38786,0.44517,0.49232
1.8,0.04,0.10553,0.20834,0.30561,0.39529,0.4749,0.54342,0.59891
1.95,0.04,0.12537,0.24728,0.36215,0.46745,0.56015,0.63914,0.70217
2.1,0.04,0.14501,0.28577,0.41787,0.5383,0.64348,0.73226,0.8021
2.25,0.04,0.16443,0.32374,0.47269,0.60777,0.72486,0.82278,0.89879
2.4,0.04,0.18359,0.36115,0.52656,0.67581,0.80426,0.91076,0.99238
2.55,0.04,0.20247,0.39797,0.57945,0.74241,0.88171,0.99627,1.083
2.7,0.04,0.22108,0.43419,0.63136,0.8076,0.95728,1.0794,1.1708
2.85,0.04,0.2394,0.4698,0.6823,0.87138,1.031,1.1603,1.256
3,0.04,0.25742,0.5048,0.73226,0.9338,1.103,1.239,1.3387
3.15,0.04,0.27516,0.5392,0.78128,0.9949,1.1732,1.3157,1.419
